stop_id,stop_code,stop_name,stop_desc,latitude,longitude,zone_id,parent_station,level_name,geometry_point,,
1467,1467,105 Street & 120 Avenue,,53.573305,-113.501149,1EDM,,Ground Level,POINT (-113.501149 53.573305),,
99013,99013,Heritage Valley Trail & Chappelle Road SW,,53.399423,-113.563606,1EDM,,Ground Level,POINT (-113.563606 53.399423),,
5479,5479,135 Street & Dovercourt Avenue,,53.575959,-113.55796,1EDM,,Ground Level,POINT (-113.55796 53.575959),,
3060,3060,Knottwood Road E & 17 Avenue,,53.447999,-113.440783,1EDM,,Ground Level,POINT (-113.440783 53.447999),,
9304,9304,Watt Common & Ellerslie Road SW,,53.423949,-113.425806,1EDM,,Ground Level,POINT (-113.425806 53.423949),,
1157,1157,66 Street & 118 Avenue,,53.570444,-113.444071,1EDM,,Ground Level,POINT (-113.444071 53.570444),,
2715,2715,Bonnie Doon Stop,,53.519699,-113.455351,1EDM,QBON,Ground Level,POINT (-113.455351 53.519699),,
5650,5650,172 Street & 63 Avenue,,53.499451,-113.620838,1EDM,,Ground Level,POINT (-113.620838 53.499451),,
3743,3743,99 Street & 22 Avenue,,53.453238,-113.485826,1EDM,,Ground Level,POINT (-113.485826 53.453238),,
2768,2768,109 Street & Saskatchewan Drive,,53.523805,-113.510654,1EDM,,Ground Level,POINT (-113.510654 53.523805),,
2738,2738,75 Street & Roper Road,,53.491766,-113.442961,1EDM,,Ground Level,POINT (-113.442961 53.491766),,
4582,4582,111 Street & 29A Avenue,,53.461084,-113.514954,1EDM,,Ground Level,POINT (-113.514954 53.461084),,
4598,4598,107 Street & 42 Avenue,,53.479154,-113.508328,1EDM,,Ground Level,POINT (-113.508328 53.479154),,
8749,8749,Suder Greens Drive & Picard Drive,,53.52273,-113.674736,1EDM,,Ground Level,POINT (-113.674736 53.52273),,
5914,5914,189 Street & 93 Avenue,,53.528232,-113.648757,1EDM,,Ground Level,POINT (-113.648757 53.528232),,
77274,77274,66 Street & 163 Avenue,,53.624511,-113.442742,1EDM,,Ground Level,POINT (-113.442742 53.624511),,
8220,8220,180 Street & 102 Avenue,,53.543253,-113.632354,1EDM,,Ground Level,POINT (-113.632354 53.543253),,
6406,6406,170 Street & 132 Avenue,,53.59192,-113.614898,1EDM,,Ground Level,POINT (-113.614898 53.59192),,
2184,2184,86 Street & Wagner Road,,53.497612,-113.455067,1EDM,,Ground Level,POINT (-113.455067 53.497612),,
7633,7633,Hooke Road & Hermitage Road,,53.580752,-113.376419,1EDM,,Ground Level,POINT (-113.376419 53.580752),,
S4200,4200,Ordze Transit Centre,,53.51362,-113.330802,4SCT,,Ground Level,POINT (-113.330802 53.51362),,
8303,8303,178 Street & 116 Avenue nearside,,53.567234,-113.627428,1EDM,,Ground Level,POINT (-113.627428 53.567234),,
4688,4688,Leger Boulevard & Leigh Crescent,,53.460217,-113.570563,1EDM,,Ground Level,POINT (-113.570563 53.460217),,
11308,11308,106 Street & 111 Avenue,,53.560536,-113.503216,1EDM,,Ground Level,POINT (-113.503216 53.560536),,
4675,4675,Tomlinson Common & 18 Avenue,,53.449938,-113.58615,1EDM,,Ground Level,POINT (-113.58615 53.449938),,
5843,5843,178 Street & 85 Avenue,,53.518603,-113.630808,1EDM,,Ground Level,POINT (-113.630808 53.518603),,
4260,4260,119 Street & 32A Avenue,,53.46481,-113.538985,1EDM,,Ground Level,POINT (-113.538985 53.46481),,
9282,9282,141 Street & 28 Avenue SW,,53.410865,-113.565193,1EDM,,Ground Level,POINT (-113.565193 53.410865),,
A0883,883,Pineview Dr & Page Dr,,53.639049,-113.585358,2STA,,Ground Level,POINT (-113.585358 53.639049),,
4295,4295,Riverbend Road & 51 Avenue,,53.488127,-113.577615,1EDM,,Ground Level,POINT (-113.577615 53.488127),,
3185,3185,34 Street & 35A Avenue,,53.467685,-113.392097,1EDM,,Ground Level,POINT (-113.392097 53.467685),,
9462,9462,178 Street & Wright Drive SW,,53.428588,-113.62582,1EDM,,Ground Level,POINT (-113.62582 53.428588),,
4143,4143,106 Street & 40 Avenue,,53.474693,-113.505815,1EDM,,Ground Level,POINT (-113.505815 53.474693),,
99208,99208,Allard Road & Allard Boulevard SW,,53.397267,-113.527505,1EDM,,Ground Level,POINT (-113.527505 53.397267),,
ODT-9802,9802,Keswick Way & Keswick Boulevard SW,Edmonton Transit On-Demand Stop,53.418527,-113.646579,1EDM,,Ground Level,POINT (-113.646579 53.418527),,
S5090,5090,Woodbridge Wy & Parker Dr,,53.530897,-113.323442,4SCT,,Ground Level,POINT (-113.323442 53.530897),,
3433,3433,Mill Woods Road & 29 Avenue,,53.459629,-113.448175,1EDM,,Ground Level,POINT (-113.448175 53.459629),,
E271,E271,Grey Nuns Stop,,53.462229,-113.434377,,QGRN,Ground Level,POINT (-113.434377 53.462229),,
55118,55118,149 Street & 123 Avenue,,53.576828,-113.579033,1EDM,,Ground Level,POINT (-113.579033 53.576828),,
4201,4201,Century Park Transit Centre Bay A,,53.45782,-113.515466,1EDM,,Ground Level,POINT (-113.515466 53.45782),,
A0142,142,Heritage Way & Harwood Drive,,53.612609,-113.630845,2STA,,Ground Level,POINT (-113.630845 53.612609),,
7797,7797,95 Street & 167 Avenue,,53.628685,-113.486501,1EDM,,Ground Level,POINT (-113.486501 53.628685),,
A0290,290,Jensen Lakes Blvd & Jensen Gate,,53.660085,-113.651627,2STA,,Ground Level,POINT (-113.651627 53.660085),,
7048,7048,78 Street & 158 Avenue,,53.619756,-113.461708,1EDM,,Ground Level,POINT (-113.461708 53.619756),,
77131,77131,50 Street & 146 Avenue,,53.608277,-113.417374,1EDM,,Ground Level,POINT (-113.417374 53.608277),,
3631,3631,99 Street & 23 Avenue,,53.45375,-113.485381,1EDM,,Ground Level,POINT (-113.485381 53.45375),,
6493,6493,117 Street & 152 Avenue,,53.612298,-113.52373,1EDM,,Ground Level,POINT (-113.52373 53.612298),,
4085,4085,114 Street & Saddleback Road N Ent,,53.461263,-113.527711,1EDM,,Ground Level,POINT (-113.527711 53.461263),,
4538,4538,Riverbend Road & 43 Avenue,,53.480177,-113.580263,1EDM,,Ground Level,POINT (-113.580263 53.480177),,
ODT-99124,99124,160 Street & Glenridding Ravine Road SW,Edmonton Transit On-Demand Stop,53.414117,-113.599716,1EDM,,Ground Level,POINT (-113.599716 53.414117),,
7498,7498,66 Street & 140 Avenue,,53.602676,-113.442713,1EDM,,Ground Level,POINT (-113.442713 53.602676),,
7755,7755,84 Street & 160 Avenue,,53.621114,-113.470091,1EDM,,Ground Level,POINT (-113.470091 53.621114),,
1640,1640,124 Street & 104 Avenue,,53.54658,-113.535764,1EDM,,Ground Level,POINT (-113.535764 53.54658),,
9444,9444,111 Street & Ellerslie Road SW,,53.42497,-113.519566,1EDM,,Ground Level,POINT (-113.519566 53.42497),,
7268,7268,89A Street & 150 Avenue,,53.610962,-113.477777,1EDM,,Ground Level,POINT (-113.477777 53.610962),,
3320,3320,Granlea Crescent E Ent & 40 Avenue,,53.477572,-113.428294,1EDM,,Ground Level,POINT (-113.428294 53.477572),,
2622,2622,86 Street & 58 Avenue,,53.494019,-113.45585,1EDM,,Ground Level,POINT (-113.45585 53.494019),,
1447,1447,44 Street & 121 Avenue,,53.575123,-113.409576,1EDM,,Ground Level,POINT (-113.409576 53.575123),,
7054,7054,66 Street & 144 Avenue,,53.604735,-113.44187,1EDM,,Ground Level,POINT (-113.44187 53.604735),,
9079,9079,175 Street & 10 Avenue SW,,53.424128,-113.622865,1EDM,,Ground Level,POINT (-113.622865 53.424128),,
7659,7659,88A Street & 144 Avenue,,53.606028,-113.476378,1EDM,,Ground Level,POINT (-113.476378 53.606028),,
3574,3574,Woodvale Road W & 37A Avenue,,53.472377,-113.433643,1EDM,,Ground Level,POINT (-113.433643 53.472377),,
S7017,7017,Craigavon Dr & Craigavon Est,,53.536746,-113.269409,4SCT,,Ground Level,POINT (-113.269409 53.536746),,
6559,6559,109 Street & 134  Avenue,,53.5949,-113.507762,1EDM,,Ground Level,POINT (-113.507762 53.5949),,
6119,6119,131 Street & 162 Avenue,,53.6239,-113.550639,1EDM,,Ground Level,POINT (-113.550639 53.6239),,
5016,5016,174 Street & 95 Avenue,,53.531098,-113.62138,1EDM,,Ground Level,POINT (-113.62138 53.531098),,
5633,5633,142 Street & 109 Avenue,,53.554209,-113.566302,1EDM,,Ground Level,POINT (-113.566302 53.554209),,
2835,2835,Scona Road & 96 Avenue,,53.534674,-113.484033,1EDM,,Ground Level,POINT (-113.484033 53.534674),,
2236,2236,96 Street & 82 Avenue,,53.518135,-113.476209,1EDM,,Ground Level,POINT (-113.476209 53.518135),,
A0271,271,Cunningham Rd & Stanley Dr,,53.628882,-113.602081,2STA,,Ground Level,POINT (-113.602081 53.628882),,
E89,E89,The Faculty of Dentistry LRT Access,,53.524985,-113.523894,,Q3599,Ground Level,POINT (-113.523894 53.524985),,
77615,77615,Ebbers Boulevard & Ebbers Way N,,53.611691,-113.39949,1EDM,,Ground Level,POINT (-113.39949 53.611691),,
2290,2290,Walterdale Hill & Queen Elizabeth Park Road,,53.526925,-113.502298,1EDM,,Ground Level,POINT (-113.502298 53.526925),,
5704,5704,Mayfield Road & 107 Avenue,,53.552371,-113.609506,1EDM,,Ground Level,POINT (-113.609506 53.552371),,
7849,7849,Hooper Crescent W Ent & Hooke Road,,53.58442,-113.391078,1EDM,,Ground Level,POINT (-113.391078 53.58442),,
66098,66098,151 Street & 128 Avenue,,53.585157,-113.580706,1EDM,,Ground Level,POINT (-113.580706 53.585157),,
7106,7106,East Clareview Transit Centre Bay P,,53.60175,-113.410596,1EDM,,Ground Level,POINT (-113.410596 53.60175),,
1430,1430,97 Street & 124 Avenue,,53.579221,-113.492505,1EDM,,Ground Level,POINT (-113.492505 53.579221),,
1959,1959,108 Street & Jasper Avenue Nearside,,53.541034,-113.506371,1EDM,,Ground Level,POINT (-113.506371 53.541034),,
7582,7582,55 Street & 145 Avenue,,53.608213,-113.425756,1EDM,,Ground Level,POINT (-113.425756 53.608213),,
2484,2484,75 Street & 101 Avenue,,53.541119,-113.44183,1EDM,,Ground Level,POINT (-113.44183 53.541119),,
1301,1301,Government Transit Centre Bay A,,53.536153,-113.504235,1EDM,,Ground Level,POINT (-113.504235 53.536153),,
A0358,358,Boudreau Road & Veness Road,,53.635943,-113.568624,2STA,,Ground Level,POINT (-113.568624 53.635943),,
E94,E94,ATB Building LRT Access,,53.540924,-113.491376,,Q3619,Ground Level,POINT (-113.491376 53.540924),,
5082,5082,142 Street & 104A Avenue,,53.547043,-113.565607,1EDM,,Ground Level,POINT (-113.565607 53.547043),,
