stop_id,stop_name,latitude,longitude,nearest_library_km
S5090,Woodbridge Wy & Parker Dr,53.530897,-113.323442,6.3521602083094635
3433,Mill Woods Road & 29 Avenue,53.459629,-113.448175,1.027900414792812
E271,Grey Nuns Stop,53.462229,-113.434377,0.7550579392740029
55118,149 Street & 123 Avenue,53.576828,-113.579033,2.2129319326195507
4201,Century Park Transit Centre Bay A,53.45782,-113.515466,2.526260615452464
A0142,Heritage Way & Harwood Drive,53.612609,-113.630845,6.352388672041363
7797,95 Street & 167 Avenue,53.628685,-113.486501,2.4601627535741386
A0290,Jensen Lakes Blvd & Jensen Gate,53.660085,-113.651627,10.202472197670033
7048,78 Street & 158 Avenue,53.619756,-113.461708,2.1005822396860303
77131,50 Street & 146 Avenue,53.608277,-113.417374,1.292163476649124
3631,99 Street & 23 Avenue,53.45375,-113.485381,3.123031067537477
6493,117 Street & 152 Avenue,53.612298,-113.52373,0.6057778081190623
4085,114 Street & Saddleback Road N Ent,53.461263,-113.527711,2.562618675808979
4538,Riverbend Road & 43 Avenue,53.480177,-113.580263,1.331870456825261
ODT-99124,160 Street & Glenridding Ravine Road SW,53.414117,-113.599716,4.198160704658337
7498,66 Street & 140 Avenue,53.602676,-113.442713,0.21965172567921687
7755,84 Street & 160 Avenue,53.621114,-113.470091,2.542079540278961
1640,124 Street & 104 Avenue,53.54658,-113.535764,2.256782207964819
9444,111 Street & Ellerslie Road SW,53.42497,-113.519566,2.2851345464608808
7268,89A Street & 150 Avenue,53.610962,-113.477777,2.2778402922648286
3320,Granlea Crescent E Ent & 40 Avenue,53.477572,-113.428294,2.495602570568411
2622,86 Street & 58 Avenue,53.494019,-113.45585,3.2899243128676563
1447,44 Street & 121 Avenue,53.575123,-113.409576,1.3188456861997981
7054,66 Street & 144 Avenue,53.604735,-113.44187,0.2965711478346626
9079,175 Street & 10 Avenue SW,53.424128,-113.622865,5.569482581421923
7659,88A Street & 144 Avenue,53.606028,-113.476378,2.0460821170429613
3574,Woodvale Road W & 37A Avenue,53.472377,-113.433643,1.885115139135923
S7017,Craigavon Dr & Craigavon Est,53.536746,-113.269409,8.918466327116555
6559,109 Street & 134  Avenue,53.5949,-113.507762,2.342869991392457
6119,131 Street & 162 Avenue,53.6239,-113.550639,2.4267643787621846
5016,174 Street & 95 Avenue,53.531098,-113.62138,2.2335218266796937
5633,142 Street & 109 Avenue,53.554209,-113.566302,1.3446983397888879
2835,Scona Road & 96 Avenue,53.534674,-113.484033,1.018515557380177
2236,96 Street & 82 Avenue,53.518135,-113.476209,1.2664106582352257
A0271,Cunningham Rd & Stanley Dr,53.628882,-113.602081,5.81842871071796
E89,The Faculty of Dentistry LRT Access,53.524985,-113.523894,1.8568625450332705
77615,Ebbers Boulevard & Ebbers Way N,53.611691,-113.39949,1.1660703407993773
2290,Walterdale Hill & Queen Elizabeth Park Road,53.526925,-113.502298,0.8906415920292711
5704,Mayfield Road & 107 Avenue,53.552371,-113.609506,3.482315917398794
7849,Hooper Crescent W Ent & Hooke Road,53.58442,-113.391078,1.421818874377414
66098,151 Street & 128 Avenue,53.585157,-113.580706,2.6078423138776894
7106,East Clareview Transit Centre Bay P,53.60175,-113.410596,0.5864745097404601
1430,97 Street & 124 Avenue,53.579221,-113.492505,1.4424878595126627
1959,108 Street & Jasper Avenue Nearside,53.541034,-113.506371,1.1372976604959344
7582,55 Street & 145 Avenue,53.608213,-113.425756,1.4281616327752709
2484,75 Street & 101 Avenue,53.541119,-113.44183,0.6454731329188372
1301,Government Transit Centre Bay A,53.536153,-113.504235,1.2474426544007218
A0358,Boudreau Road & Veness Road,53.635943,-113.568624,4.109820137719942
E94,ATB Building LRT Access,53.540924,-113.491376,0.2793700703462057
5082,142 Street & 104A Avenue,53.547043,-113.565607,2.016282487650344
6491,114 Street & 139 Avenue,53.60207,-113.518894,1.5282926846637215
3882,66 Street & Mill Woods Road S,53.446562,-113.436479,0.9983871923028415
22733,99 Street & 87 Avenue,53.522469,-113.486236,0.8177054562553305
3769,Woodvale Road W & 38 Avenue,53.474291,-113.43322,2.098912618819685
6765,151 Street & 131 Avenue,53.590383,-113.581728,2.606305268370691
9352,122 Street & 26 Avenue SW,53.410504,-113.539282,0.3553094437478961
2965,122 Street & 53 Avenue,53.49182,-113.540988,2.805905190150226
7383,95A Street & 132 Avenue Nearside,53.591978,-113.490062,2.8248944890127423
7329,36 Street & 139 Avenue,53.603305,-113.396141,0.43417174410006093
ODT-4595,156 Street & Falconer Road,53.463206,-113.589775,0.7017976088519783
5523,137 Street & 109A Avenue,53.55584,-113.558722,0.9379372452280387
F2004,82 Street and 96 Avenue SB,53.690493,-113.245747,12.970240105767685
F3020,98 Avenue and Ross Drive WB,53.710895,-113.20557,16.43472407583253
5255,Connaught Drive & 102 Avenue,53.543115,-113.542427,2.4190491479170704
Q5266,Southgate Station,53.485752,-113.516722,1.0890181831211998
1726,St Albert Trail & 115 Avenue,53.56505,-113.545803,0.553219026354221
3783,17 Street & 23 Avenue,53.454536,-113.368898,0.34463892361906523
5132,142 Street & 101A Avenue,53.542155,-113.565854,2.5319879026746723
ODT-8722,Hope Road & Hemingway Road,53.487419,-113.678586,3.9315440644234716
5037,130 Street & 102 Avenue,53.543113,-113.546227,2.352539318419959
5102,Jasper Place Transit Centre Bay B,53.540703,-113.591767,1.9472476841947677
7568,95 Street & 171 Avenue,53.632854,-113.489107,2.635713565528266
2580,50 Street & 109 Avenue,53.557535,-113.418951,2.134304650580741
2362,50 Street & 76 Avenue,53.512046,-113.418538,2.993948623629983
4067,108 Street & 25 Avenue,53.455878,-113.508016,2.640157981110845
1620,101 Street & Jasper Avenue,53.54103,-113.495157,0.4402905763106968
5210,Westmount Transit Centre Bay H,53.561479,-113.55574,0.2822091772678956
A0053,SWC Ave & Grandin Village I,53.619837,-113.641784,7.345505535508024
S9223,Regency Dr & Regal Wy,53.515578,-113.25842,9.849882536335436
6578,132 Street & 155 Avenue,53.616804,-113.549121,2.153236194488793
E164,NAIT Blatchford Market Station West Acce,53.5659954,-113.5065439,1.2854507443452379
7648,34 Street & 132A Avenue,53.592752,-113.393185,1.1083876150417993
S8305,Sherwood Dr & Bison Wy,53.549934,-113.29595,6.717845615667412
1280,97 Street & 103 Avenue,53.545933,-113.487051,0.32334656519653776
5192,169 Street & 87 Avenue,53.518917,-113.610964,1.4458018292332238
ODT-6229,104 Street & 178A Avenue,53.642466,-113.500418,3.1625449335009574
S7532,Stop at Sandstone Park,53.565977,-113.251928,9.205063417734006
L0342,13 Street & Spine Road,53.386658,-113.501384,3.341237111776765
2333,77 Street & 95 Avenue,53.533564,-113.44735,1.2354413904826396
ODT-22344,62 Street & 104 Avenue,53.546749,-113.427632,0.8038814185220681
1001,Abbottsfield Transit Centre Bay A,53.571965,-113.390362,0.03713638144207527
7494,78 Street & 157 Avenue,53.618035,-113.462422,1.963430805186612
2751,50 Street & 55 Avenue,53.492277,-113.418023,4.240693831846197
S8107,Bethel Dr & Bethel Wy,53.545836,-113.302143,6.524514520816964
4658,156 Street & Simpson Place,53.438061,-113.589956,3.4008560224226847
8954,172 Street & 105 Avenue,53.548132,-113.617977,3.3206985437606926
L0154,43 Street & 81 Street,53.303008,-113.537358,11.627005214727456
E52,,53.54095,-113.493548,0.36209488387025945
2207,Southgate Transit Centre Bay G,53.485087,-113.516118,1.0113118128774312
6734,138 Street & 155  Avenue,53.616205,-113.559803,2.8573547539631923
1814,132 Street & 111 Avenue,53.558797,-113.548902,0.6423992990535606
9759,141 Street & Paisley Road SW,53.41446,-113.56526,1.9985511483227698
ODT-99193,39 Street & Charlesworth Drive SW,53.426627,-113.400678,3.911764019135522
9078,178 Street & 10 Avenue SW,53.424623,-113.626687,5.644738331877092
2024,86 Street & 51 Avenue,53.487222,-113.454192,3.4246179228873372
